City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Sao Filipe,CV,2022-08-31 16:56:00,14.8961,-24.4956,77.72,77,92,8.81
229,Itaituba,BR,2022-08-31 16:57:00,-4.2761,-55.9836,96.96,46,20,4.61
230,Airai,TL,2022-08-31 16:57:00,-8.9266,125.4092,57.43,90,31,2.86
231,Nasice,HR,2022-08-31 16:57:01,45.4886,18.0878,83.75,67,94,5.79
232,Mezen,RU,2022-08-31 16:57:01,65.8522,44.24,43.95,65,100,7.52
233,Anadyr,RU,2022-08-31 16:57:01,64.75,177.4833,43.3,93,75,17.9
234,Cuamba,MZ,2022-08-31 16:57:02,-14.8031,36.5372,67.44,64,44,11.23
235,Borovsk,RU,2022-08-31 16:57:02,55.2064,36.4861,53.24,72,79,7.52
236,Curuguaty,PY,2022-08-31 16:57:02,-24.4694,-55.6945,81.7,37,1,7.63
237,Bambous Virieux,MU,2022-08-31 16:57:03,-20.3428,57.7575,68.25,83,20,5.75
238,Qazanbulaq,AZ,2022-08-31 16:57:03,40.6192,46.6519,86.9,23,0,7.54
239,Ahipara,NZ,2022-08-31 16:57:03,-35.1667,173.1667,51.03,82,100,5.08
240,Sorland,NO,2022-08-31 16:57:03,67.667,12.6934,49.86,64,47,9.93
241,Mende,FR,2022-08-31 16:57:04,44.6667,3.5,67.69,48,100,7.47
242,Hasaki,JP,2022-08-31 16:57:04,35.7333,140.8333,79.2,89,16,19.15
243,Alto Araguaia,BR,2022-08-31 16:57:05,-17.3147,-53.2153,91.92,19,0,7.65
244,Rocha,UY,2022-08-31 16:57:05,-34.4833,-54.3333,67.84,60,72,9.44
245,Russell,US,2022-08-31 16:53:03,32.3502,-85.1999,89.96,58,75,6.91
246,Bathsheba,BB,2022-08-31 16:57:05,13.2167,-59.5167,84.27,69,25,12.37
247,Keti Bandar,PK,2022-08-31 16:57:05,24.1447,67.4497,82.36,76,5,10.0
248,Luderitz,NA,2022-08-31 16:57:06,-26.6481,15.1594,61.25,69,92,3.36
249,Eskilstuna,SE,2022-08-31 16:57:06,59.3666,16.5077,57.85,75,95,3.0
250,Yeniseysk,RU,2022-08-31 16:57:06,58.4497,92.1703,48.38,98,100,3.51
251,Selizharovo,RU,2022-08-31 16:57:07,56.8519,33.4487,48.51,82,58,9.89
252,Uribia,CO,2022-08-31 16:57:07,11.7139,-72.266,91.89,47,13,22.37
253,Cayenne,GF,2022-08-31 16:57:07,4.9333,-52.3333,89.64,58,40,6.91
254,Georgiyevka,KZ,2022-08-31 16:57:08,43.0369,74.7114,66.24,48,0,6.71
255,Raga,SS,2022-08-31 16:57:08,8.4596,25.678,69.06,97,99,5.91
256,Lorengau,PG,2022-08-31 16:57:08,-2.0226,147.2712,80.56,83,100,9.37
257,Kaya,BF,2022-08-31 16:57:09,13.0917,-1.0844,86.95,59,100,5.95
258,Saint Petersburg,RU,2022-08-31 16:54:31,59.8944,30.2642,48.34,87,100,13.42
259,Tinskoy,RU,2022-08-31 16:57:09,56.1525,96.9161,58.53,90,84,11.99
260,Ingham,US,2022-08-31 16:57:09,42.6,-84.3833,79.65,56,40,12.66
261,Fairbanks,US,2022-08-31 16:56:15,64.8378,-147.7164,52.83,86,100,3.51
262,Barahona,DO,2022-08-31 16:57:09,18.2085,-71.1008,89.42,74,75,11.5
263,Sao Felix Do Xingu,BR,2022-08-31 16:57:10,-6.6447,-51.995,99.59,19,54,3.85
264,Namibe,AO,2022-08-31 16:57:10,-15.1961,12.1522,74.03,68,0,13.8
265,Kumylzhenskaya,RU,2022-08-31 16:57:10,49.8809,42.5898,75.97,41,67,6.31
266,Khash,IR,2022-08-31 16:57:11,28.2211,61.2158,78.13,10,0,9.06
267,Sibiti,CG,2022-08-31 16:57:11,-3.6819,13.3499,81.66,47,88,3.65
268,Saint-Joseph,RE,2022-08-31 16:57:11,-21.3667,55.6167,70.18,81,29,4.56
269,Kholodnyy,RU,2022-08-31 16:57:12,62.7167,147.95,46.78,76,73,6.02
270,Marawi,PH,2022-08-31 16:57:12,7.9986,124.2928,69.3,94,100,4.45
271,Rawson,AR,2022-08-31 16:57:12,-43.3002,-65.1023,60.71,27,100,2.55
272,Kinablangan,PH,2022-08-31 16:57:13,7.6947,126.5503,78.53,84,99,5.59
273,Asyut,EG,2022-08-31 16:57:13,27.181,31.1837,93.38,20,0,11.95
274,Jalu,LY,2022-08-31 16:57:13,29.0331,21.5482,91.98,21,0,12.5
275,Matamoros,MX,2022-08-31 16:58:14,25.5333,-103.25,68.11,100,100,0.0
276,Shimoda,JP,2022-08-31 16:58:14,34.6667,138.95,78.82,90,12,9.91
277,Sivas,TR,2022-08-31 16:58:14,39.7916,37.0019,81.23,29,75,17.27
278,Ekhabi,RU,2022-08-31 16:58:14,53.5102,142.9671,54.41,91,1,8.28
279,Caravelas,BR,2022-08-31 16:58:15,-17.7125,-39.2481,71.42,64,63,12.17
280,Raudeberg,NO,2022-08-31 16:58:15,61.9875,5.1352,59.67,42,48,2.71
281,Villa Maria,AR,2022-08-31 16:58:15,-32.4075,-63.2402,74.1,24,3,12.19
282,Bandarbeyla,SO,2022-08-31 16:58:16,9.4942,50.8122,76.66,83,80,27.2
283,Santa Marta,CO,2022-08-31 16:58:16,11.2408,-74.199,87.85,70,40,8.05
284,San Cristobal,VE,2022-08-31 16:58:16,7.7669,-72.225,86.18,43,45,7.96
285,Vitim,RU,2022-08-31 16:58:17,59.4511,112.5578,39.63,98,100,3.71
286,Natchez,US,2022-08-31 16:58:17,31.5604,-91.4032,86.25,74,57,4.12
287,Lander,US,2022-08-31 16:58:17,42.833,-108.7307,86.59,27,1,5.26
288,Zyryanka,RU,2022-08-31 16:58:18,65.75,150.85,45.54,51,92,5.68
289,La Baule-Escoublac,FR,2022-08-31 16:58:18,47.2922,-2.364,71.26,90,100,13.8
290,Verkhnyaya Inta,RU,2022-08-31 16:58:18,65.9811,60.3094,40.15,78,62,6.04
291,Bourail,NC,2022-08-31 16:58:19,-21.5667,165.4833,67.41,84,79,4.65
292,Tobol,KZ,2022-08-31 16:58:19,52.6844,62.5794,75.15,34,45,10.42
293,Groa,NO,2022-08-31 16:58:19,62.65,8.7167,60.94,61,16,5.75
