City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Bawku,GH,75.74,moderate rain,11.0616,-0.2417,Ultimate Guest House
616,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
618,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
621,Teacapan,MX,86.05,overcast clouds,22.55,-105.75,Hotel los Mangos
628,Mancio Lima,BR,86.07,smoke,-7.6142,-72.8958,Motel Asas Do Desejo
632,Davila,PH,78.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
634,Salinopolis,BR,79.81,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
635,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
636,Lapeer,US,77.49,scattered clouds,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
641,Progreso,MX,82.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
642,Inirida,CO,75.38,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
646,Lucapa,AO,75.09,scattered clouds,-8.4192,20.7447,Lírio Mendes
650,Tutoia,BR,79.0,scattered clouds,-2.7619,-42.2744,Pousada Guará's
659,Zlitan,LY,78.44,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
660,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
662,Starkville,US,82.27,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
671,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
673,Key Largo,US,85.98,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
676,Namatanai,PG,84.13,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
678,Manokwari,ID,81.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
679,Rajakhera,IN,85.37,few clouds,26.8961,78.1714,Shiv hair man's parlour
681,Asyut,EG,80.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
682,Eau Claire,US,87.17,clear sky,44.8114,-91.4985,Hampton Inn Eau Claire
684,Nouakchott,MR,87.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
685,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
686,Puerto Narino,CO,80.4,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
692,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
693,Mana,GF,79.16,few clouds,5.6592,-53.7767,LE SAMANA
697,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
698,Alim,PH,81.93,overcast clouds,9.5649,122.4876,Eden Island Resort and Spa
701,Morgan City,US,77.0,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
